field_70009_b,buffer
field_70010_a,instance
field_70116_cv,serverPosZ
field_70117_cu,serverPosY
field_70118_ct,serverPosX
field_70121_D,boundingBox
field_70122_E,onGround
field_70123_F,isCollidedHorizontally
field_70124_G,isCollidedVertically
field_70125_A,rotationPitch
field_70126_B,prevRotationYaw
field_70127_C,prevRotationPitch
field_70128_L,isDead
field_70129_M,yOffset
field_70130_N,width
field_70131_O,height
field_70132_H,isCollided
field_70133_I,velocityChanged
field_70134_J,isInWeb
field_70136_U,lastTickPosZ
field_70137_T,lastTickPosY
field_70138_W,stepHeight
field_70139_V,ySize
field_70140_Q,distanceWalkedModified
field_70141_P,prevDistanceWalkedModified
field_70142_S,lastTickPosX
field_70143_R,fallDistance
field_70144_Y,entityCollisionReduction
field_70145_X,noClip
field_70146_Z,rand
field_70147_f,entityRiderYawDelta
field_70148_d,firstUpdate
field_70149_e,entityRiderPitchDelta
field_70150_b,nextStepDistance
field_70151_c,fire
field_70152_a,nextEntityID
field_70153_n,riddenByEntity
field_70154_o,ridingEntity
field_70155_l,renderDistanceWeight
field_70156_m,preventEntitySpawning
field_70158_ak,ignoreFrustumCheck
field_70159_w,motionX
field_70160_al,isAirBorne
field_70161_v,posZ
field_70162_ai,chunkCoordY
field_70163_u,posY
field_70164_aj,chunkCoordZ
field_70165_t,posX
field_70166_s,prevPosZ
field_70167_r,prevPosY
field_70168_am,myEntitySize
field_70169_q,prevPosX
field_70170_p,worldObj
field_70171_ac,inWater
field_70172_ad,hurtResistantTime
field_70173_aa,ticksExisted
field_70174_ab,fireResistance
field_70175_ag,addedToChunk
field_70176_ah,chunkCoordX
field_70177_z,rotationYaw
field_70178_ae,isImmuneToFire
field_70179_y,motionZ
field_70180_af,dataWatcher
field_70181_x,motionY
field_70191_b,throwableShake
field_70192_c,thrower
field_70193_a,inGround
field_70194_h,ticksInGround
field_70195_i,ticksInAir
field_70197_d,potionDamage
field_70221_f,shatterOrDrop
field_70222_d,targetZ
field_70223_e,despawnTimer
field_70224_b,targetX
field_70225_c,targetY
field_70230_d,accelerationZ
field_70232_b,accelerationX
field_70233_c,accelerationY
field_70234_an,ticksInAir
field_70235_a,shootingEntity
field_70236_j,ticksAlive
field_70238_i,inGround
field_70249_b,arrowShake
field_70250_c,shootingEntity
field_70251_a,canBePickedUp
field_70252_j,ticksInGround
field_70253_h,inData
field_70254_i,inGround
field_70255_ao,damage
field_70256_ap,knockbackStrength
field_70257_an,ticksInAir
field_70259_a,entityDragonObj
field_70260_b,health
field_70261_a,innerRotation
field_70262_b,lightningState
field_70263_c,boltLivingTime
field_70264_a,boltVertex
field_70272_f,boatZ
field_70273_g,boatYaw
field_70274_d,boatX
field_70275_e,boatY
field_70276_b,speedMultiplier
field_70277_c,boatPosRotationIncrements
field_70278_an,velocityZ
field_70279_a,isBoatEmpty
field_70280_j,velocityY
field_70281_h,boatPitch
field_70282_i,velocityX
field_70290_d,hoverStart
field_70291_e,health
field_70292_b,age
field_70456_f,currentItemStack
field_70457_g,itemStack
field_70458_d,player
field_70459_e,inventoryChanged
field_70460_b,armorInventory
field_70461_c,currentItem
field_70462_a,mainInventory
field_70464_b,inventoryWidth
field_70465_c,eventHandler
field_70466_a,stackList
field_70467_a,stackResult
field_70472_d,currentRecipe
field_70473_e,currentRecipeIndex
field_70474_b,theInventory
field_70475_c,thePlayer
field_70476_a,theMerchant
field_70477_b,upperChest
field_70478_c,lowerChest
field_70479_a,name
field_70481_b,slotsCount
field_70482_c,inventoryContents
field_70483_a,inventoryTitle
field_70484_a,container
field_70488_a,associatedChest
field_70499_f,isInReverse
field_70500_g,matrix
field_70506_as,velocityZ
field_70507_ar,velocityY
field_70508_aq,velocityX
field_70509_j,minecartY
field_70510_h,turnProgress
field_70511_i,minecartX
field_70512_ao,minecartYaw
field_70513_ap,minecartPitch
field_70514_an,minecartZ
field_70516_a,fuse
field_70520_f,tickCounter1
field_70522_e,art
field_70529_d,xpOrbHealth
field_70530_e,xpValue
field_70531_b,xpOrbAge
field_70533_a,xpColor
field_70544_f,particleScale
field_70545_g,particleGravity
field_70546_d,particleAge
field_70547_e,particleMaxAge
field_70548_b,particleTextureJitterX
field_70549_c,particleTextureJitterY
field_70550_a,particleIcon
field_70551_j,particleBlue
field_70552_h,particleRed
field_70553_i,particleGreen
field_70554_ao,interpPosY
field_70555_ap,interpPosZ
field_70556_an,interpPosX
field_70557_a,theEntity
field_70558_as,particleName
field_70559_ar,maximumLife
field_70560_aq,currentLife
field_70561_a,initialParticleScale
field_70562_a,flameScale
field_70563_a,materialType
field_70564_aq,bobTimer
field_70570_a,reddustParticleScale
field_70571_a,portalParticleScale
field_70572_as,portalPosZ
field_70573_ar,portalPosY
field_70574_aq,portalPosX
field_70575_a,particleScaleOverTime
field_70576_a,footstepAge
field_70577_ar,currentFootSteps
field_70578_aq,footstepMaxAge
field_70579_a,timeSinceStart
field_70580_aq,maximumTime
field_70583_ar,theRenderEngine
field_70585_a,noteParticleScale
field_70586_a,lavaParticleScale
field_70587_a,smokeParticleScale
field_70588_a,snowDigParticleScale
field_70590_a,baseSpellTextureIndex
field_70591_a,entityToPickUp
field_70592_at,yOffs
field_70593_as,maxAge
field_70594_ar,age
field_70595_aq,entityPickingUp
field_70696_bz,attackTarget
field_70698_bv,defaultPitch
field_70699_by,navigator
field_70700_bx,numTicksToChaseTarget
field_70701_bs,moveForward
field_70702_br,moveStrafing
field_70703_bu,isJumping
field_70704_bt,randomYawVelocity
field_70705_bn,newRotationPitch
field_70708_bq,entityAge
field_70709_bj,newPosX
field_70710_bk,newPosY
field_70712_bm,newRotationYaw
field_70713_bf,activePotionsMap
field_70714_bg,tasks
field_70715_bh,targetTasks
field_70716_bi,newPosRotationIncrements
field_70717_bb,attackingPlayer
field_70718_bc,recentlyHit
field_70720_be,arrowHitTimer
field_70721_aZ,limbSwingAmount
field_70722_aY,prevLimbSwingAmount
field_70723_bA,senses
field_70724_aR,attackTime
field_70725_aQ,deathTime
field_70726_aT,cameraPitch
field_70727_aS,prevCameraPitch
field_70728_aV,experienceValue
field_70729_aU,dead
field_70732_aI,prevSwingProgress
field_70733_aJ,swingProgress
field_70735_aL,prevHealth
field_70737_aN,hurtTime
field_70738_aO,maxHurtTime
field_70739_aP,attackedAtYaw
field_70744_aE,scoreValue
field_70746_aG,landMovementFactor
field_70747_aH,jumpMovementFactor
field_70749_g,lookHelper
field_70752_e,potionsNeedUpdate
field_70754_ba,limbSwing
field_70755_b,entityLivingToAttack
field_70756_c,revengeTimer
field_70757_a,livingSoundTime
field_70758_at,prevRotationYawHead
field_70759_as,rotationYawHead
field_70760_ar,prevRenderYawOffset
field_70761_aq,renderYawOffset
field_70762_j,bodyHelper
field_70765_h,moveHelper
field_70767_i,jumpHelper
field_70771_an,maxHurtResistantTime
field_70772_bD,maximumHomeDistance
field_70773_bE,jumpTicks
field_70775_bC,homePosition
field_70776_bF,currentTarget
field_70786_d,pathToEntity
field_70787_b,hasAttacked
field_70788_c,fleeingTick
field_70789_a,entityToAttack
field_70791_f,attackCounter
field_70792_g,targetedEntity
field_70793_d,waypointZ
field_70794_e,prevAttackCounter
field_70795_b,waypointX
field_70796_c,waypointY
field_70797_a,courseChangeCooldown
field_70798_h,aggroCooldown
field_70810_d,slimeJumpDelay
field_70811_b,squishFactor
field_70812_c,prevSquishFactor
field_70813_a,squishAmount
field_70826_g,stareTimer
field_70827_d,carriableBlocks
field_70828_e,teleportDelay
field_70833_d,timeSinceIgnited
field_70834_e,lastActiveTime
field_70837_d,angerLevel
field_70838_e,randomSoundDelay
field_70843_d,allySummonCooldown
field_70847_d,heightOffset
field_70848_e,heightOffsetUpdateTime
field_70855_f,attackTimer
field_70856_g,holdRoseTick
field_70857_d,villageObj
field_70858_e,homeCheckTimer
field_70859_f,squidYaw
field_70860_g,prevSquidYaw
field_70861_d,squidPitch
field_70862_e,prevSquidPitch
field_70863_bz,randomMotionSpeed
field_70864_bA,rotationVelocity
field_70865_by,lastTentacleAngle
field_70866_j,tentacleAngle
field_70867_h,squidRotation
field_70868_i,prevSquidRotation
field_70869_bD,randomMotionVecY
field_70870_bE,randomMotionVecZ
field_70872_bC,randomMotionVecX
field_70881_d,inLove
field_70882_e,breeding
field_70883_f,destPos
field_70887_j,timeUntilNextEgg
field_70898_d,fleeceColorTable
field_70899_e,sheepTimer
field_70911_d,aiSit
field_70914_e,aiTempt
field_70925_g,isShaking
field_70927_j,prevTimeWolfIsShaking
field_70929_i,timeWolfIsShaking
field_70935_b,customer
field_70936_c,recipeList
field_70937_a,theMerchantInventory
field_70952_f,isMating
field_70953_g,isPlaying
field_70954_d,villageObj
field_70955_e,randomTickDivider
field_70956_bz,wealth
field_70958_bB,villagersSellingList
field_70959_by,needsInitilization
field_70960_bC,blacksmithSellingList
field_70961_j,timeUntilReset
field_70962_h,buyingPlayer
field_70963_i,buyingList
field_70976_f,ringBufferIndex
field_70977_g,dragonPartArray
field_70978_d,targetZ
field_70979_e,ringBuffer
field_70980_b,targetX
field_70981_c,targetY
field_70982_bz,dragonPartTail3
field_70983_bA,dragonPartWing1
field_70984_by,dragonPartTail2
field_70985_j,dragonPartTail1
field_70986_h,dragonPartHead
field_70987_i,dragonPartBody
field_70988_bD,animTime
field_70989_bE,forceNewTarget
field_70990_bB,dragonPartWing2
field_70991_bC,prevAnimTime
field_70992_bH,healingEnderCrystal
field_70993_bI,target
field_70994_bF,slowed
field_70995_bG,deathTicks
field_71067_cb,experienceTotal
field_71068_ca,experienceLevel
field_71069_bz,inventoryContainer
field_71070_bA,openContainer
field_71071_by,inventory
field_71072_f,itemInUseCount
field_71073_d,startMinecartRidingCoordinate
field_71074_e,itemInUse
field_71075_bZ,capabilities
field_71076_b,sleepTimer
field_71077_c,spawnChunk
field_71078_a,theInventoryEnderChest
field_71080_cy,prevTimeInPortal
field_71081_bT,playerLocation
field_71083_bS,sleeping
field_71086_bY,timeInPortal
field_71087_bX,inPortal
field_71088_bW,timeUntilPortal
field_71090_bL,xpCooldown
field_71093_bK,dimension
field_71100_bB,foodStats
field_71101_bC,flyToggleTimer
field_71102_ce,speedInAir
field_71104_cf,fishEntity
field_71106_cc,experience
field_71107_bF,prevCameraYaw
field_71108_cd,speedOnGround
field_71109_bG,cameraYaw
field_71129_f,loadedChunks
field_71130_g,destroyedItemsNetCache
field_71131_d,managedPosX
field_71132_e,managedPosZ
field_71133_b,mcServer
field_71134_c,theItemInWorldManager
field_71135_a,playerNetServerHandler
field_71136_j,playerConqueredTheEnd
field_71137_h,isChangingQuantityOnly
field_71138_i,ping
field_71139_cq,currentWindowId
field_71140_co,chatColours
field_71142_cm,renderDistance
field_71143_cn,chatVisibility
field_71144_ck,lastExperience
field_71146_ci,lastFoodLevel
field_71147_cj,wasHungry
field_71148_cg,translator
field_71149_ch,lastHealth
field_71154_f,renderArmYaw
field_71155_g,renderArmPitch
field_71156_d,sprintToggleTimer
field_71157_e,sprintingTicksLeft
field_71158_b,movementInput
field_71159_c,mc
field_71163_h,prevRenderArmYaw
field_71164_i,prevRenderArmPitch
field_71168_co,ticksSinceMovePacket
field_71169_cp,hasSetHealth
field_71170_cm,wasSneaking
field_71171_cn,wasSprinting
field_71172_ck,oldRotationPitch
field_71173_cl,wasOnGround
field_71174_a,sendQueue
field_71175_ci,oldPosZ
field_71176_cj,oldRotationYaw
field_71177_cg,oldMinY
field_71178_ch,oldPosY
field_71179_j,oldPosX
field_71180_f,otherPlayerMPYaw
field_71181_g,otherPlayerMPPitch
field_71182_d,otherPlayerMPY
field_71183_e,otherPlayerMPZ
field_71184_b,otherPlayerMPPosRotationIncrements
field_71185_c,otherPlayerMPX
field_71186_a,isItemInUse
field_71280_D,buildLimit
field_71284_A,pvpEnabled
field_71285_B,allowFlight
field_71286_C,motd
field_71287_L,worldName
field_71288_M,isDemo
field_71289_N,enableBonusChest
field_71290_O,worldIsBeingDeleted
field_71292_I,serverKeyPair
field_71293_J,serverOwner
field_71294_K,folderName
field_71295_T,startProfiling
field_71296_Q,serverIsRunning
field_71298_S,userMessage
field_71299_R,timeOfLastWarning
field_71302_d,currentTask
field_71303_e,percentDone
field_71304_b,theProfiler
field_71305_c,worldServers
field_71307_n,usageSnooper
field_71308_o,anvilFile
field_71309_l,mcServer
field_71310_m,anvilConverterForAnvilFile
field_71311_j,tickTimeArray
field_71312_k,timeOfLastDimensionTick
field_71315_w,tickCounter
field_71316_v,serverStopped
field_71317_u,serverRunning
field_71318_t,serverConfigManager
